"District","County Number","County Name"," License Type Code"," License Number","Business (DBA-Does Business As) Name","Location Address","Location City"," Location Zip Code","Inspection Number","Visit Number","Inspection Class","Inspection Type","Inspection Disposition","Inspection Date","Number of Critical Violations","Number of Noncritical Violations"," Number of Total Violations","Number of High Priority Violations","Number of Intermediate Violations","Number of Basic Violations","PDA Status","Violation 01","Violation 02","Violation 03","Violation 04","Violation 05","Violation 06","Violation 07","Violation 08","Violation 09","Violation 10","Violation 11","Violation 12","Violation 13","Violation 14","Violation 15","Violation 16","Violation 17","Violation 18","Violation 19","Violation 20","Violation 21","Violation 22","Violation 23","Violation 24","Violation 25","Violation 26","Violation 27","Violation 28","Violation 29","Violation 30","Violation 31","Violation 32","Violation 33","Violation 34","Violation 35","Violation 36","Violation 37","Violation 38","Violation 39","Violation 40","Violation 41","Violation 42","Violation 43","Violation 44","Violation 45","Violation 46","Violation 47","Violation 48","Violation 49","Violation 50","Violation 51","Violation 52","Violation 53","Violation 54","Violation 55","Violation 56","Violation 57","Violation 58","License ID","Inspection Visit ID"
"D3","37","Hernando","2010","3700459","MCDONALD'S 10572","13100 CORTEZ BLVD","BROOKSVILLE","34613","3759201","1","Food","Complaint Full","Administrative complaint recommended","07/21/2026","","","2","1","0","1","Y","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6732703","13852519"
"D3","37","Hernando","2010","3700459","MCDONALD'S 10572","13100 CORTEZ BLVD","BROOKSVILLE","34613","3759201","2","Food","Complaint Full","Call Back - Complied","07/22/2026","","","0","0","0","0","Y","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6732703","13853610"
"D3","37","Hernando","2010","3700503","LONG JOHN SILVERS","2440 COMMERCIAL WAY","SPRING HILL","34606","3713522","1","Food","Routine - Food","Inspection Completed - No Further Action","07/17/2026","","","6","1","1","4","Y","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","9429459","13752015"
"D3","37","Hernando","2010","3700665","CAPONE'S BISTRO AND BILLIARDS","10463 COUNTY LINE RD","SPRING HILL","34609","3672933","4","Food","Routine - Food","Call Back - Admin. complaint recommended","07/07/2026","","","4","0","3","1","Y","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","9562609","13692471"
"D3","37","Hernando","2010","3700796","DENNY'S #6931","1445 WENDY CT","SPRING HILL","34607","3758087","1","Food","Complaint Full","Inspection Completed - No Further Action","07/16/2026","","","6","1","1","4","Y","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6499079","13848147"
"D3","37","Hernando","2010","3700801","BREE'S RIVERSIDE RESTAURANT","29250 LAKE LINDSEY RD","BROOKSVILLE","34601","3755986","1","Food","Complaint Full","Inspection Completed - No Further Action","07/09/2026","","","6","1","3","2","Y","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9366007","13842109"
"D3","37","Hernando","2010","3700873","CHINA 1 OF WEST HERNANDO LLC","1446 PINHURST DRIVE","SPRING HILL","34606","3681963","2","Food","Routine - Food","Call Back - Admin. complaint recommended","07/01/2026","","","1","0","1","0","Y","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","7771971","13683784"
"D3","37","Hernando","2010","3700909","NEW CHINA","146 MARINER BLVD","SPRING HILL","34609","3735996","1","Food","Routine - Food","Inspection Completed - No Further Action","07/10/2026","","","3","0","0","3","Y","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7406766","13774489"
"D3","37","Hernando","2010","3700913","APPLEBEE'S NEIGHBORHOOD GRILL & BAR","20090 CORTEZ BLVD","BROOKSVILLE","34603","3700910","1","Food","Food-Licensing Inspection","Inspection Completed - No Further Action","07/15/2026","","","1","0","0","1","Y","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10006457","13721085"
"D3","37","Hernando","2010","3700960","POPEYES LOUISIANA KITCHEN OPERATED BY TICE","4493 COMMERCIAL WAY","SPRING HILL","34606","3759196","1","Food","Complaint Full","Warning Issued","07/21/2026","","","14","4","3","7","N","1","0","0","0","0","0","0","0","1","0","0","4","0","1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","2","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9165641","13852505"
